city,source_file,source_row,date,station_id,tmax,tmin,tmean,rain_mm,snowfall_cm,precip_mm,tmean_analysis,tmean_derived,quality_notes,winter_year,year,month,is_winter,in_study_period,snow_day,very_cold_day,mean_temp,temp_anomaly,snowfall_total_cm,snow_days,days_below_m20,baseline_mean_temp,baseline_n_winters,baseline_status,winter_label,temperature_pass,snowfall_pass,cold_days_pass,enso_index,enso_value,enso_class,strong_el_nino,oni_djf,roni_djf,enso_class_oni,enso_class_roni,strong_el_nino_oni,strong_el_nino_roni,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
ottawa,ottawa_daily.csv,2,1981-01-01,4337,-13.1,-22.2,-17.7,0,0.4,0.4,-17.7,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,3,1981-01-02,4337,-13.2,-29.9,-21.6,0,3,3.4,-21.6,False,,1981,1981,1,True,False,1,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,4,1981-01-03,4337,-28.1,-34.5,-31.3,0,0,0,-31.3,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,5,1981-01-04,4337,-21.1,-35.2,-28.2,0,0,0,-28.2,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,6,1981-01-05,4337,-16,-22,-19,0,0,0,-19,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,7,1981-01-06,4337,-6.3,-16.8,-11.6,0,12.6,11,-11.6,False,,1981,1981,1,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,8,1981-01-07,4337,-3.8,-20.4,-12.1,0,5.6,3.8,-12.1,False,,1981,1981,1,True,False,1,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,9,1981-01-08,4337,-16.8,-22.9,-19.9,0,0,0,-19.9,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,10,1981-01-09,4337,-9.4,-22.9,-16.2,0,1.8,1.4,-16.2,False,,1981,1981,1,True,False,1,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,11,1981-01-10,4337,-10,-26.9,-18.5,0,0.4,0.2,-18.5,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,12,1981-01-11,4337,-23.5,-29.6,-26.6,0,0,0,-26.6,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,13,1981-01-12,4337,-19,-28.9,-24,0,0,0,-24,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,14,1981-01-13,4337,-18.6,-28.2,-23.4,0,0,0,-23.4,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,15,1981-01-14,4337,-13.9,-25.6,-19.8,0,0,0,-19.8,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,16,1981-01-15,4337,-10.5,-22.4,-16.5,0,0,0,-16.5,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,17,1981-01-16,4337,-10.3,-17.3,-13.8,0,2,1.6,-13.8,False,,1981,1981,1,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,18,1981-01-17,4337,-12.2,-18.3,-15.3,0,0.2,0.2,-15.3,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,19,1981-01-18,4337,-2.2,-17.1,-9.7,0,0.8,0.4,-9.7,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,20,1981-01-19,4337,1.1,-4.1,-1.5,0,0,0,-1.5,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,21,1981-01-20,4337,-3.8,-16.3,-10.1,0,0,0,-10.1,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,22,1981-01-21,4337,-6.4,-21.4,-13.9,0,0.4,0.4,-13.9,False,,1981,1981,1,True,False,0,1,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,23,1981-01-22,4337,-1.7,-7,-4.4,0,1.2,1.2,-4.4,False,,1981,1981,1,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,24,1981-01-23,4337,-2.3,-7.4,-4.9,0,0.4,0.4,-4.9,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
ottawa,ottawa_daily.csv,25,1981-01-24,4337,-4.5,-12.3,-8.4,0,0,0,-8.4,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Ottawa,East,45.32,True,True
